ticker,price,price_date,updated_at_utc,updated_at_madrid,market_status,confirmed_close,confirmed_close_date,change_from_close,change_from_close_percent
DIS,105.349998,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,105.349998,2026-09-17,0.0,0.0
DKILY,13.31,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,13.31,2026-09-17,0.0,0.0
DLR,184.259995,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,184.259995,2026-09-17,0.0,0.0
DOW,29.49,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,29.49,2026-09-17,0.0,0.0
DTE,130.440002,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,130.440002,2026-09-17,0.0,0.0
DUK,118.540001,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,118.540001,2026-09-17,0.0,0.0
DVN,48.720001,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,48.720001,2026-09-17,0.0,0.0
EA,209.699997,2026-08-04,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,209.699997,2026-08-04,0.0,0.0
ECL,271.679993,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,271.679993,2026-09-17,0.0,0.0
ED,107.080002,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,107.080002,2026-09-17,0.0,0.0
EGO,42.389999,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,42.389999,2026-09-17,0.0,0.0
EIX,55.5,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,55.5,2026-09-17,0.0,0.0
EL,93.860001,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,93.860001,2026-09-17,0.0,0.0
EMR,147.399994,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,147.399994,2026-09-17,0.0,0.0
EOG,145.470001,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,145.470001,2026-09-17,0.0,0.0
EQIX,1025.939941,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,1025.939941,2026-09-17,0.0,0.0
EQR,63.66,2026-08-21,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,63.66,2026-08-21,0.0,0.0
ETN,409.459991,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,409.459991,2026-09-17,0.0,0.0
EXC,42.639999,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,42.639999,2026-09-17,0.0,0.0
EXEL,58.490002,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,58.490002,2026-09-17,0.0,0.0
EXK,10.17,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,10.17,2026-09-17,0.0,0.0
F,13.61,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,13.61,2026-09-17,0.0,0.0
FANG,196.940002,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,196.940002,2026-09-17,0.0,0.0
FCX,70.849998,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,70.849998,2026-09-17,0.0,0.0
FN,380.920013,2026-09-17,2026-09-18 06:03:54 UTC,2026-09-18 08:03:54,pre_market,380.920013,2026-09-17,0.0,0.0
